identifier,download,doi,title
10.1785/0320210005,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/1/5269494/tsr-2021005.1.pdf,https://doi.org/10.1785/0320210005,"Introducing The Seismic Record—A New, Open‐Access Journal from the Seismological Society of America"
10.1785/0320210002,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/3/5272331/tsr-2021002.1.pdf,https://doi.org/10.1785/0320210002,Source Separation and Medium Change of Contained Chemical Explosions from Coda Wave Interferometry
10.1785/0320210001,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/11/5300233/tsr-2021001.1.pdf,https://doi.org/10.1785/0320210001,Machine‐Learning‐Based High‐Resolution Earthquake Catalog Reveals How Complex Fault Structures Were Activated during the 2016–2017 Central Italy Sequence
10.1785/0320210010,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/27/5306550/tsr-2021010.1.pdf,https://doi.org/10.1785/0320210010,"Raspberry Shake Instruments Provide Initial Ground‐Motion Assessment of the Induced Seismicity at the United Downs Deep Geothermal Power Project in Cornwall, United Kingdom"
10.1785/0320210007,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/20/5306541/tsr-2021007.1.pdf,https://doi.org/10.1785/0320210007,Small Local Earthquake Detection Using Low‐Cost MEMS Accelerometers: Examples in Northern and Central Italy
10.1785/0320210009,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/35/5323556/tsr-2021009.1.pdf,https://doi.org/10.1785/0320210009,"A Broad, Distributed Active Fault Zone Lies beneath Salt Lake City, Utah"
10.1785/0320210016,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/56/5351563/tsr-2021016.1.pdf,https://doi.org/10.1785/0320210016,Subsurface Characterization of the Quaternary Active Cheraw Fault in Southeastern Colorado Based on Seismic Imaging
10.1785/0320210008,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/46/5351555/tsr-2021008.1.pdf,https://doi.org/10.1785/0320210008,Seismic Noise Recorded by Telecommunication Fiber Optics Reveals the Impact of COVID‐19 Measures on Human Activity
10.1785/0320210015,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/66/5356744/tsr-2021015.1.pdf,https://doi.org/10.1785/0320210015,Laboratory Evidence of Transient Pressure Surge in a Fluid‐Filled Fracture as a Potential Driver of Remote Dynamic Earthquake Triggering
10.1785/0320210012,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/75/5357150/tsr-2021012.1.pdf,https://doi.org/10.1785/0320210012,"Paleotsunamis on the Southern Hikurangi Subduction Zone, New Zealand, Show Regular Recurrence of Large Subduction Earthquakes"
10.1785/0320210021,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/85/5363987/tsr-2021021.1.pdf,https://doi.org/10.1785/0320210021,The Western Gulf of Corinth (Greece) 2020–2021 Seismic Crisis and Cascading Events: First Results from the Corinth Rift Laboratory Network
10.1785/0320210020,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/96/5375771/tsr-2021020.1.pdf,https://doi.org/10.1785/0320210020,Stability of the Fault Systems That Host‐Induced Earthquakes in the Delaware Basin of West Texas and Southeast New Mexico
10.1785/0320210022,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/107/5389510/tsr-2021022.1.pdf,https://doi.org/10.1785/0320210022,"Joint Regional Waveform, First‐Motion Polarity, and Surface Displacement Moment Tensor Inversion of the 3 September 2017 North Korean Nuclear Test"
10.1785/0320210017,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/117/6168557/tsr-2021017.1.pdf,https://doi.org/10.1785/0320210017,Improvements to the Third Uniform California Earthquake Rupture Forecast ETAS Model (UCERF3‐ETAS)
10.1785/0320210026,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/126/5455773/tsr-2021026.1.pdf,https://doi.org/10.1785/0320210026,Seismic Wave Propagation and Inversion with Neural Operators
10.1785/0320210031,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/135/5469517/tsr-2021031.1.pdf,https://doi.org/10.1785/0320210031,Precise Locating of the Great 1897 Shillong Plateau Earthquake Using Teleseismic and Regional Seismic Phase Data
10.1785/0320210032,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/145/5478305/tsr-2021032.1.pdf,https://doi.org/10.1785/0320210032,"Seismic Constraint on Heterogeneous Deformation and Stress State in the Forearc of the Hikurangi Subduction Zone, New Zealand"
10.1785/0320210035,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/154/6168421/tsr-2021035.1.pdf,https://doi.org/10.1785/0320210035,Shallow Megathrust Rupture during the 10 February 2021 Mw 7.7 Southeast Loyalty Islands Earthquake Sequence
10.1785/0320210034,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/164/5494466/tsr-2021034.1.pdf,https://doi.org/10.1785/0320210034,Bolide Energetics and Infrasound Propagation: Exploring the 18 December 2018 Bering Sea Event to Identify Limitations of Empirical and Numerical Models
10.1785/0320210041,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/1/5504794/tsr-2021041.1.pdf,https://doi.org/10.1785/0320210041,A Detailed Earthquake Catalog for Banda Arc–Australian Plate Collision Zone Using Machine‐Learning Phase Picker and an Automated Workflow
10.1785/0320210045,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/11/5515075/tsr-2021045.1.pdf,https://doi.org/10.1785/0320210045,Direct Estimation of Explosion Pn Green’s Functions Applied to Teleseismic P‐wave Intercorrelations for North Korean Nuclear Tests
10.1785/0320210043,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/20/5518682/tsr-2021043.1.pdf,https://doi.org/10.1785/0320210043,"Kinematic Slip Model of the 2021 M 6.0 Antelope Valley, California, Earthquake"
10.1785/0320210048,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/29/5519513/tsr-2021048.1.pdf,https://doi.org/10.1785/0320210048,On the Depth of Earthquakes in the Delaware Basin: A Case Study along the Reeves–Pecos County Line
10.1785/0320210036,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/38/5520115/tsr-2021036.1.pdf,https://doi.org/10.1785/0320210036,Detecting Elevated Pore Pressure due to Wastewater Injection Using Ambient Noise Monitoring
10.1785/0320210040,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/50/5553691/tsr-2021040.1.pdf,https://doi.org/10.1785/0320210040,General Seismic Architecture of the Southern San Andreas Fault Zone around the Thousand Palms Oasis from a Large‐N Nodal Array
10.1785/0320210044,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/59/5575733/tsr-2021044.1.pdf,https://doi.org/10.1785/0320210044,Surface Rupture on a Secondary Fault Associated with the 8 August 2020 Mw 5.1 Sparta North Carolina Earthquake
10.1785/0320220003,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/68/5581213/tsr-2022003.1.pdf,https://doi.org/10.1785/0320220003,"Stress Drop Variations of Induced Earthquakes near the Dallas–Fort Worth Airport, Texas"
10.1785/0320220008,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/78/5584856/tsr-2022008.1.pdf,https://doi.org/10.1785/0320220008,Improved Resolution across the Global Seismographic Network: A New Era in Low‐Frequency Seismology
10.1785/0320220007,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/88/5592848/tsr-2022007.1.pdf,https://doi.org/10.1785/0320220007,The Far Side of Mars: Two Distant Marsquakes Detected by InSight
10.1785/0320220005,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/100/5598628/tsr-2022005.1.pdf,https://doi.org/10.1785/0320220005,Aftershocks Preferentially Occur in Previously Active Areas
10.1785/0320220012,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/107/5607259/tsr-2022012.1.pdf,https://doi.org/10.1785/0320220012,"The 14 December 2021 Mw 4.9 Offshore Jeju Island, Korea, Earthquake: Seismological Observation of an Intraplate Earthquake Provides Insight into Regional Seismotectonics"
10.1785/0320220002,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/118/5613830/tsr-2022002.1.pdf,https://doi.org/10.1785/0320220002,S/P Amplitude Ratios Derived from Single‐Component Seismograms and Their Potential Use in Constraining Focal Mechanisms for Microearthquake Sequences
10.1785/0320220018,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/137/5637336/tsr-2022018.1.pdf,https://doi.org/10.1785/0320220018,"The 27 February 2022 Lop Nor Earthquake: Detectability, Location, and Discrimination"
10.1785/0320220016,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/127/5637328/tsr-2022016.1.pdf,https://doi.org/10.1785/0320220016,3D Shear Wave Velocity Model of Salt Lake Valley via Rayleigh Wave Ellipticity across a Temporary Geophone Array
10.1785/0320220010,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/3/148/5646751/tsr-2022010.1.pdf,https://doi.org/10.1785/0320220010,Fiber‐Optic Observation of Volcanic Tremor through Floating Ice Sheet Resonance
10.1785/0320220017,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/3/156/5646663/tsr-2022017.1.pdf,https://doi.org/10.1785/0320220017,Ground Motion Amplification at Natural Rock Arches in the Colorado Plateau
10.1785/0320220019,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/3/167/5662840/tsr-2022019.1.pdf,https://doi.org/10.1785/0320220019,"Waveform Features Strongly Control Subcrater Classification Performance for a Large, Labeled Volcano Infrasound Dataset"
10.1785/0320220015,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/3/176/5665259/tsr-2022015.1.pdf,https://doi.org/10.1785/0320220015,The Kalaotoa Fault: A Newly Identified Fault that Generated the Mw 7.3 Flores Sea Earthquake
10.1785/0320220022,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/3/186/5671734/tsr-2022022.1.pdf,https://doi.org/10.1785/0320220022,Ground‐Motion Evaluation of Hybrid Seismic Velocity Models
10.1785/0320220020,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/3/197/5679093/tsr-2022020.1.pdf,https://doi.org/10.1785/0320220020,Basement Fault Activation before Larger Earthquakes in Oklahoma and Kansas
10.1785/0320220023,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/3/207/5686719/tsr-2022023.1.pdf,https://doi.org/10.1785/0320220023,Earthquakes in the Shadows: Why Aftershocks Occur at Surprising Locations
10.1785/0320220027,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/4/217/5722437/tsr-2022027.1.pdf,https://doi.org/10.1785/0320220027,Multi‐Event Explosive Seismic Source for the 2022 Mw 6.3 Hunga Tonga Submarine Volcanic Eruption
10.1785/0320220030,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/4/227/5733917/tsr-2022030.1.pdf,https://doi.org/10.1785/0320220030,"Rupture Directivity of the 2021 ML 2.2 Gwangyang, Korea, Microearthquake: Toward Resolving High‐Resolution Rupture Process of a Small Earthquake"
10.1785/0320220032,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/4/237/5735463/tsr-2022032.1.pdf,https://doi.org/10.1785/0320220032,Variability in the Natural Frequencies of a Nine‐Story Concrete Building from Seconds to Decades
10.1785/0320220029,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/4/248/5736766/tsr-2022029.1.pdf,https://doi.org/10.1785/0320220029,"Evidence of Active Quaternary Deformation on the Great Valley Fault System near Winters, Northern California"
10.1785/0320220035,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/4/260/5742350/tsr-2022035.1.pdf,https://doi.org/10.1785/0320220035,"Rotational Components of Normal Modes Measured at a Natural Sandstone Tower (Kane Springs Canyon, Utah, U.S.A.)"
10.1785/0320220036,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/1/1/5758479/tsr-2022036.1.pdf,https://doi.org/10.1785/0320220036,“Aftershock Faults” and What They Could Mean for Seismic Hazard Assessment
10.1785/0320220033,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/1/12/5769736/tsr-2022033.1.pdf,https://doi.org/10.1785/0320220033,"Investigations of Ambient Noise Velocity Variations in a Region of Induced Seismicity near Greeley, Colorado"
10.1785/0320220039,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/1/29/5795001/tsr-2022039.1.pdf,https://doi.org/10.1785/0320220039,Utilization of Crowdsourced Felt Reports to Distinguish High‐Impact from Low‐Impact Earthquakes Globally within Minutes of an Event
10.1785/0320220040,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/1/21/5794995/tsr-2022040.1.pdf,https://doi.org/10.1785/0320220040,Point‐Source Decay of Ground‐Motion Amplitudes at \&lt;10 km
10.1785/0320220043,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/1/37/5823020/tsr-2022043.1.pdf,https://doi.org/10.1785/0320220043,Fault Roughness at Seismogenic Depths and Links to Earthquake Behavior
10.1785/0320220044,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/1/48/5806839/tsr-2022044.1.pdf,https://doi.org/10.1785/0320220044,P/SV Amplitude Ratios of Shallow Isotropic Explosions and Earthquakes Could Be Indistinguishable at Local Distances: Insights from Single‐Station Waveform Simulations
10.1785/0320220042,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/57/5812168/tsr-2022042.1.pdf,https://doi.org/10.1785/0320220042,"Coseismic Slip Model of the 19 September 2022 Mw 7.6 Michoacán, Mexico, Earthquake: A Quasi‐Repeat of the 1973 Mw 7.6 Rupture"
10.1785/0320230001,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/69/5814329/tsr-2023001.1.pdf,https://doi.org/10.1785/0320230001,Nonlinear Radiation Damping: A New Method for Dissipating Energy in Dynamic Earthquake Rupture Simulations
10.1785/0320230006,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/86/5814835/tsr-2023006.1.pdf,https://doi.org/10.1785/0320230006,"Are Regionally Calibrated Seismicity Models More Informative than Global Models? Insights from California, New Zealand, and Italy"
10.1785/0320230002,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/77/5814827/tsr-2023002.1.pdf,https://doi.org/10.1785/0320230002,Space–Time Asymmetry in Earthquake Pairs along the Central San Andreas Fault: Evidence for Small Earthquake Links at Long Distances
10.1785/0320220038,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/96/5824017/tsr-2022038.1.pdf,https://doi.org/10.1785/0320220038,On the Importance of Using Directional Information in the Search for Lower Mantle Reflectors
10.1785/0320230007,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/105/5840910/tsr-2023007.1.pdf,https://doi.org/10.1785/0320230007,The Destructive Earthquake Doublet of 6 February 2023 in South‐Central Türkiye and Northwestern Syria: Initial Observations and Analyses
10.1785/0320220048,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/116/5847854/tsr-2022048.1.pdf,https://doi.org/10.1785/0320220048,"Imaging an Enigmatic Paleovalley with Passive Seismic Methods (Unaweep Canyon, Colorado, United States)"
10.1785/0320230004,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/125/5847847/tsr-2023004.1.pdf,https://doi.org/10.1785/0320230004,Fiber‐Optic Airplane Seismology on the Northeast Greenland Ice Stream
10.1785/0320230008,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/134/5848941/tsr-2023008.1.pdf,https://doi.org/10.1785/0320230008,The 2023 Southeast Türkiye Seismic Sequence: Rupture of a Complex Fault Network
10.1785/0320230013,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/144/5849443/tsr-2023013.1.pdf,https://doi.org/10.1785/0320230013,Rupture Directivity of the 25 October 2022 Mw 5.1 Alum Rock Earthquake
10.1785/0320230009,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/156/5852615/tsr-2023009.1.pdf,https://doi.org/10.1785/0320230009,"Rapid Characterization of the February 2023 Kahramanmaraş, Türkiye, Earthquake Sequence"
10.1785/0320230014,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/168/5877555/tsr-2023014.1.pdf,https://doi.org/10.1785/0320230014,Erratum to Multi‐Event Explosive Seismic Source for the 2022 Mw 6.3 Hunga Tonga Submarine Volcanic Eruption
10.1785/0320230015,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/2/171/5887472/tsr-2023015.1.pdf,https://doi.org/10.1785/0320230015,"Modern Products for a Vintage Event: An Update on the 1933 Long Beach, California, Earthquake"
10.1785/0320220047,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/182/5898193/tsr-2022047.1.pdf,https://doi.org/10.1785/0320220047,Hosgri Fault Transpressional Slip Rates Reproduce Observed Central California Coast Uplift Rates
10.1785/0320230017,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/194/5901411/tsr-2023017.1.pdf,https://doi.org/10.1785/0320230017,Estimating the Magnitude of Completeness of Earthquake Catalogs Using a Simple Random Variable Transformation
10.1785/0320230019,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/200/5937504/tsr-2023019.1.pdf,https://doi.org/10.1785/0320230019,Tracking Local Sea Ice Extent in the Beaufort Sea Using Distributed Acoustic Sensing and Machine Learning
10.1785/0320230003,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/210/5937795/tsr-2023003.1.pdf,https://doi.org/10.1785/0320230003,"Comment on “Multievent Explosive Seismic Source for the 2022 Mw 6.3 Hunga Tonga Submarine Volcanic Eruption” by Julien Thurin, Carl Tape, and Ryan Modrak"
10.1785/0320230016,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/215/5937793/tsr-2023016.1.pdf,https://doi.org/10.1785/0320230016,"Reply to “Comment on ‘Multievent Explosive Seismic Source for the 2022 Mw 6.3 Hunga Tonga Submarine Volcanic Eruption’ by Julien Thurin, Carl Tape, and Ryan Modrak” by Fred F. Pollitz, Ricardo Garza‐Giron, and Thorne Lay"
10.1785/0320230021,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/218/5944050/tsr-2023021.1.pdf,https://doi.org/10.1785/0320230021,"Evaluating a Prospective Fault‐Based Stress‐Transfer Forecast for the M 7.9 Wenchuan Earthquake Region, 15 Years Later"
10.1785/0320230020,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/228/5946654/tsr-2023020.1.pdf,https://doi.org/10.1785/0320230020,"Characterizing and Locating Seismic Tremor during the 2022 Eruption of Mauna Loa Volcano, Hawai’i, with Network Covariance"
10.1785/0320230026,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/3/3/239/5973366/tsr-2023026.1.pdf,https://doi.org/10.1785/0320230026,"Spatially Consistent Small‐Scale Stress Heterogeneity Revealed by the 2008 Mogul, Nevada, Earthquakes"
